Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
AAC,AAC Holdings,Healthcare,Medical Care,521.1938,627.9158,25.9888,14.6299,2.4724,3.7303
AAMC,Altisource Asset Mgmt,Financial Services,Asset Management,26.5584,1608.8804,None,None,None,None
AAOI,Applied Optoelectronics,Technology,Semiconductors,302.3566,305.9696,18.3265,11.2675,1.6119,1.8561
AAON,AAON,Basic Materials,Building Materials,1305.2593,1267.1303,30.1625,15.7407,3.7626,6.5799
AAT,American Assets Trust,Real Estate,REIT - Retail,1825.1886,2870.0296,22.8369,18.5967,6.7625,2.2759
AAVL,Avalanche Biotechnologies,Healthcare,Biotechnology,224.3635,-44.5225,None,1.9938,169.9724,0.8553
AAWW,Atlas Air Worldwide,Industrials,Airports & Air Services,1000.2649,2416.5489,8.2206,6.3244,0.5414,0.6724
ABAX,Abaxis,Healthcare,Diagnostics & Research,1174.2417,1041.5307,39.1591,20.3027,5.1877,5.0500
ABCB,Ameris Bancorp,Financial Services,Banks - Regional - US,1087.9062,1082.1102,19.7602,None,4.0983,2.1658
ABCD,Cambium Learning Group,Consumer Defensive,Education & Training Services,236.7195,343.0265,None,None,None,None
ABCO,The Advisory Board,Industrials,Business Services,2138.2647,2639.4967,52.7273,15.3645,2.7397,3.7848
ABCW,Anchor BanCorp Wisconsin,Financial Services,Savings & Cooperative Banks,403.0410,259.7340,None,None,None,1.1200
ABEO,Abeona Therapeutics,Healthcare,Biotechnology,137.1504,93.8684,None,None,109.6326,1.8769
ABG,Asbury Automotive Group,Consumer Cyclical,Auto & Truck Dealerships,1837.1564,3432.8564,12.7794,10.0484,0.2776,5.8415
ABM,ABM Industries,Industrials,Business Services,1671.8335,1925.7335,18.5305,8.9454,0.3216,1.6945
ABMD,Abiomed,Healthcare,Medical Devices,3445.9977,3270.4897,119.2251,None,10.9730,10.4079
ABY,Abengoa Yield,Utilities,Utilities - Regulated Electric,1711.7115,7330.8625,50.2353,16.4413,2.3745,0.8013
ACAD,ACADIA Pharmaceuticals,Healthcare,Biotechnology,3632.8176,3392.1266,None,-21.0691,72656.3520,15.9792
ACAT,Arctic Cat,Consumer Cyclical,Recreational Vehicles,280.3069,285.3879,215.8000,11.6866,0.4160,1.4724
ACCO,ACCO Brands,Industrials,Business Equipment,813.8192,1568.9192,9.9351,6.6241,0.5429,1.4507
ACET,Aceto,Healthcare,Drug Manufacturers - Specialty & Generic,808.6498,885.5358,21.0846,12.1223,1.3971,3.0495
ACHN,Achillion Pharmaceuticals,Healthcare,Biotechnology,1343.6018,881.4008,None,-8.2916,20.3524,3.1265
ACIW,ACI Worldwide,Technology,Software - Application,2753.0672,3456.6162,28.2182,13.3068,2.6475,4.5968
ACLS,Axcelis Technologies,Technology,Semiconductor Equipment & Materials,295.0656,215.1946,21.8509,9.3563,1.0058,1.5685
ACOR,Acorda Therapeutics,Healthcare,Biotechnology,1614.0120,1586.3090,None,72.1050,3.3414,2.8075
ACRE,Ares Commercial Real,Real Estate,REIT - Diversified,364.7724,126.5634,10.9536,None,4.2582,0.8950
ACTA,Actua,Technology,Software - Application,464.6881,400.0941,None,-228.6252,3.4741,1.1651
ACTG,Acacia Research,Industrials,Business Services,277.5281,129.2421,37.7241,5.2261,2.1910,0.6454
ACW,Accuride,Consumer Cyclical,Auto Parts,107.8956,390.7926,11.3924,4.4279,0.1467,1.9376
