Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value,PE Ratio (5y Median),EV to EBITDA (5y Median),PS Ratio (5y Median),Price to Book Value (5y Median),Return on Equity (5y Median),Return on Assets (5y Median)
AAC,AAC Holdings,Healthcare,Medical Care,531.0530,637.7750,26.4804,14.8596,2.5192,3.8008,None,None,None,None,None,None
AAMC,Altisource Asset Mgmt,Financial Services,Asset Management,29.5462,1611.8682,None,None,None,None,None,None,None,None,None,None
AAOI,Applied Optoelectronics,Technology,Semiconductors,312.4576,316.0706,18.9388,11.6395,1.6657,1.9181,None,None,None,None,None,None
AAON,AAON,Basic Materials,Building Materials,1323.1099,1284.9809,30.5750,15.9625,3.8141,6.6699,27.0236,13.4865,2.5678,5.2320,0.227184,0.158553
AAT,American Assets Trust,Real Estate,REIT - Retail,1820.2005,2865.0415,22.7745,18.5644,6.7440,2.2697,None,16.4979,None,1.9975,0.039054,0.010626
AAVL,Avalanche Biotechnologies,Healthcare,Biotechnology,235.6976,-33.1884,None,1.4863,178.5588,0.8985,None,None,None,None,None,None
AAWW,Atlas Air Worldwide,Industrials,Airports & Air Services,1003.9596,2420.2436,8.2510,6.3341,0.5434,0.6749,10.6176,7.2262,0.7198,0.9117,0.092491,0.043168
ABAX,Abaxis,Healthcare,Diagnostics & Research,1247.6176,1114.9066,41.6061,21.7331,5.5118,5.3656,45.9969,22.4335,4.9778,4.7854,0.094293,0.083463
ABCB,Ameris Bancorp,Financial Services,Banks - Regional - US,1098.2090,1092.4130,19.9474,None,4.1372,2.1864,None,None,2.4704,1.5065,0.084385,0.007349
ABCD,Cambium Learning Group,Consumer Defensive,Education & Training Services,236.7195,343.0265,None,None,None,None,None,None,0.6661,None,0.009624,-0.064831
ABCO,The Advisory Board,Industrials,Business Services,2162.5631,2663.7951,53.3264,15.5060,2.7709,3.8278,None,None,None,6.1961,None,None
ABCW,Anchor BanCorp Wisconsin,Financial Services,Savings & Cooperative Banks,401.7932,258.4862,None,None,None,1.1165,None,None,0.1146,None,None,None
ABEO,Abeona Therapeutics,Healthcare,Biotechnology,146.6429,103.3609,None,None,117.2206,2.0068,None,None,None,None,0.289713,-1.531636
ABG,Asbury Automotive Group,Consumer Cyclical,Auto & Truck Dealerships,1889.4435,3485.1435,13.1431,10.2014,0.2855,6.0078,14.5674,11.5362,0.2646,2.9249,0.231074,0.057094
ABM,ABM Industries,Industrials,Business Services,1657.2274,1911.1274,18.3686,8.8775,0.3188,1.6797,20.0458,9.7421,0.3089,1.5812,0.083445,0.036364
ABMD,Abiomed,Healthcare,Medical Devices,3466.7823,3291.2743,119.9442,None,11.0392,10.4706,None,None,6.0201,6.2711,0.056469,0.046552
